22          gamma                 0.00000        0.000000        2               0      0      0      0      1.0      0      1
22          1   1.0000  22          0           0           0           0

-211        pi-                   0.13800        7.7e-9          1               0      0      0      0      1.0     -1      1
-211        1   1.0000  -211        0           0           0           0

111         pi0                   0.13800        7.7e-9          1               0      0      0      0      1.0      0      1
111         2   1.0000  22          22          0           0           0

211         pi+                   0.13800        7.7e-9          1               0      0      0      0      1.0      1      1
211         1   1.0000  211         0           0           0           0

-311        Anti-K0               0.49400        0.000000        1               0     -1      0      0      0.5      0      1
-311        1   1.0000  -311        0           0           0           0

-321        Anti-K+               0.49400        0.000000        1               0     -1      0      0      0.5     -1      1
-321        1   1.0000  -321        0           0           0           0

311         K0                    0.49400        0.000000        1               0      1      0      0      0.5      0      1
311         1   1.0000  311         0           0           0           0

321         K+                    0.49400        0.000000        1               0      1      0      0      0.5      1      1
321         1   1.0000  321         0           0           0           0

221         eta                   0.54800        1.31e-06        1               0      0      0      0      0.0      0      5
221         2   0.3936  22          22          0           0           0
221         3   0.3257  111         111         111         0           0
221         3   0.2302  211         -211        111         0           0
221         3   0.0428  211         -211        22          0           0
221         3   0.0003  111         22          22          0           0

-213        rho-                  0.77600        0.148000        3               0      0      0      0      1.0     -1      1
-213        2   1.0000  111         -211        0           0           0

113         rho0                  0.77600        0.148000        3               0      0      0      0      1.0      0      1
113         2   1.0000  211         -211        0           0           0

213         rho+                  0.77600        0.148000        3               0      0      0      0      1.0      1      1
213         2   1.0000  111         211         0           0           0

223         omega(782)            0.78300        0.008680        3               0      0      0      0      0.0      0      4
223         3   0.8920  211         -211        111         0           0
223         2   0.0835  111         22          0           0           0
223         2   0.0153  211         -211        0           0           0
223         2   0.0004  221         22          0           0           0

9000221     sigma                 0.80000        0.400000        1               0      0      0      0      0.0      0      2
9000221     2   0.3333  111         111         0           0           0
9000221     2   0.6667  211         -211        0           0           0

-313        Anti-K*(892)0         0.89200        0.050000        3               0     -1      0      0      0.5      0      2
-313        2   0.3333  -311        111         0           0           0
-313        2   0.6667  -321        211         0           0           0

-323        Anti-K*(892)+         0.89200        0.050000        3               0     -1      0      0      0.5     -1      2
-323        2   0.6667  -311        -211        0           0           0
-323        2   0.3333  -321        111         0           0           0

313         K*(892)0              0.89200        0.050000        3               0      1      0      0      0.5      0      2
313         2   0.3333  311         111         0           0           0
313         2   0.6667  321         -211        0           0           0

323         K*(892)+              0.89200        0.050000        3               0      1      0      0      0.5      1      2
323         2   0.6667  311         211         0           0           0
323         2   0.3333  321         111         0           0           0

-2112       Anti-N0               0.93800        0.000000        2              -1      0      0      0      0.5      0      1
-2112       1   1.0000  -2112       0           0           0           0

-2212       Anti-N+               0.93800        0.000000        2              -1      0      0      0      0.5     -1      1
-2212       1   1.0000  -2212       0           0           0           0

2112        N0                    0.93800        0.000000        2               1      0      0      0      0.5      0      1
2112        1   1.0000  2112        0           0           0           0

2212        N+                    0.93800        0.000000        2               1      0      0      0      0.5      1      1
2212        1   1.0000  2212        0           0           0           0

331         eta'(958)             0.95800        0.000188        1               0      0      0      0      0.0      0      7
331         3   0.4250  211         -211        221         0           0
331         3   0.2240  111         111         221         0           0
331         2   0.2950  113         22          0           0           0
331         2   0.0252  223         22          0           0           0
331         2   0.0231  22          22          0           0           0
331         3   0.0025  111         111         111         0           0
331         3   0.0036  211         -211        111         0           0

-9000211    a0(980)-              0.98900        0.075000        1               0      0      0      0      1.0     -1      2
-9000211    2   0.8490  -211        221         0           0           0
-9000211    2   0.1510  -321        311         0           0           0

9000111     a0(980)0              0.98900        0.075000        1               0      0      0      0      1.0      0      3
9000111     2   0.8490  111         221         0           0           0
9000111     2   0.0760  311         -311        0           0           0
9000111     2   0.0760  321         -321        0           0           0

9000211     a0(980)+              0.98900        0.075000        1               0      0      0      0      1.0      1      2
9000211     2   0.8490  211         221         0           0           0
9000211     2   0.1510  321         -311        0           0           0

9010221     f0(980)               0.99000        0.055000        1               0      0      0      0      0.0      0      4
9010221     2   0.2400  111         111         0           0           0
9010221     2   0.4800  211         -211        0           0           0
9010221     2   0.1400  311         -311        0           0           0
9010221     2   0.1400  321         -321        0           0           0

333         phi(1020)             1.01950        0.004250        3               0      0      0      0      0.0      0      7
333         2   0.4910  321         -321        0           0           0
333         2   0.3390  311         -311        0           0           0
333         2   0.0513  111         113         0           0           0
333         2   0.0513  211         -213        0           0           0
333         2   0.0513  -211        213         0           0           0
333         2   0.0130  221         22          0           0           0
333         2   0.0013  111         22          0           0           0

-3122       Anti-Lambda           1.11570        0.000000        2              -1      1      0      0      0.0      0      1
-3122       1   1.0000  -3122       0           0           0           0

3122        Lambda                1.11570        0.000000        2               1     -1      0      0      0.0      0      1
3122        1   1.0000  3122        0           0           0           0

10223       h1(1170)              1.16600        0.375000        3               0      0      0      0      0.0      0      3
10223       2   0.3333  111         113         0           0           0
10223       2   0.3333  211         -213        0           0           0
10223       2   0.3333  -211        213         0           0           0

